assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,0,59,None,None,0,75115,-1,1,-2,2,98.3,0,4,5.0,5.0,5,Callum,5.0,8,1,25.3,67,False,54.8,337,,None,78,0,0,0,75115.jpg,5.0,0,0,Wilson,9.9,False,None,a,3,91,99.0,20,93295,14517,595353,38142,0.6,2.6,Callum Wilson,1
0,0,35,None,None,0,78007,0,0,-1,1,51.6,0,4,3.0,3.0,2,Joshua,3.0,8,1,18.2,68,False,63.8,348,,None,64,0,0,0,78007.jpg,3.0,0,0,King,10.8,False,None,a,3,91,67.0,12,148325,12004,687898,88814,0.5,1.9,King,0
0,0,11,None,None,0,154566,0,0,-1,1,12.9,0,4,1.0,1.0,1,Dominic,1.0,1,0,9.0,69,False,11.8,62,,None,54,0,0,0,154566.jpg,1.0,0,0,Solanke,0.4,False,None,a,3,91,65.0,4,9430,1190,20517,2484,0.2,0.7,Solanke,0
0,0,0,0,0,0,217331,0,0,-1,1,0.0,0,4,0.0,0.0,0,Sam,0.0,0,0,0.0,71,False,0.0,0,Joined Swansea City on loan until the end of the season on 6/8. - Expected back 01 Jul,2019-08-07T20:00:14.104634Z,44,0,0,0,217331.jpg,0.0,0,0,Surridge,0.7,False,None,n,3,91,0.0,0,24230,11168,36645,6024,0.0,0.0,Surridge,0
0,0,0,0,None,0,40349,0,0,-1,1,0.0,0,1,0.0,0.0,0,Asmir,0.0,0,0,0.0,72,False,0.0,0,Joined Qarabag on loan until January on 2/9. - Expected back 01 Feb,2019-09-02T17:00:12.309749Z,44,0,0,0,40349.jpg,0.0,0,0,Begovic,1.9,False,None,n,3,91,0.0,0,10851,920,78589,11302,0.0,0.0,Begovic,0
0,0,0,None,None,0,18726,0,0,-1,1,0.0,0,1,0.0,0.0,0,Artur,0.0,0,0,0.0,73,False,0.0,0,,None,44,0,0,0,18726.jpg,0.0,0,0,Boruc,0.3,False,None,a,3,91,0.0,0,1976,536,8628,903,0.0,0.0,Boruc,0
0,0,0,None,None,0,229600,0,0,-1,1,0.0,0,1,0.0,0.0,0,Mark,0.0,0,0,0.0,74,False,0.0,0,,None,44,0,0,0,229600.jpg,0.0,0,0,Travers,0.2,False,None,a,3,91,0.0,0,998,218,6027,547,0.0,0.0,Travers,0
1,1,37,None,None,0,90105,0,0,-2,2,100.7,0,3,2.8,2.8,6,Ryan,2.8,8,0,20.9,75,False,49.4,360,,None,73,0,0,0,90105.jpg,2.8,0,0,Fraser,7.0,False,None,a,3,91,60.0,11,41105,6114,738264,30445,0.4,1.5,Fraser,1
0,0,0,0,0,0,111317,0,0,-1,1,0.0,0,3,0.0,0.0,0,David,0.0,0,0,0.0,76,False,0.0,0,Ankle injury - Expected back 26 Oct,2019-07-31T21:00:14.727782Z,64,0,0,0,111317.jpg,0.0,0,0,Brooks,0.1,False,None,i,3,91,0.0,0,298,33,14957,911,0.0,0.0,Brooks,0
0,0,0,0,0,0,56872,0,0,0,0,0.0,0,3,0.0,0.0,0,Junior,0.0,0,0,0.0,77,False,0.0,0,Knee injury - Unknown return date,2019-06-25T11:30:06.990995Z,60,0,0,0,56872.jpg,0.0,0,0,Stanislas,0.0,False,None,i,3,91,0.0,0,81,14,219,31,0.0,0.0,Stanislas,0
0,0,10,None,None,0,103912,0,0,-1,1,5.4,0,3,0.5,0.5,1,Jordon,0.5,1,0,1.2,78,False,6.8,48,,None,49,0,0,0,103912.jpg,1.0,0,0,Ibe,0.2,False,None,a,3,91,0.0,2,2649,279,12604,892,0.1,0.4,Ibe,0
0,0,0,0,0,0,155408,0,0,0,0,0.0,0,3,0.0,0.0,0,Lewis,0.0,0,0,0.0,79,False,0.0,0,Lack of match fitness - Unknown return date,2019-06-25T11:30:07.007116Z,50,0,0,0,155408.jpg,0.0,0,0,Cook,0.0,False,None,i,3,91,0.0,0,65,5,201,24,0.0,0.0,Lewis Cook,0
0,0,6,100,100,0,15237,0,0,-1,1,2.2,0,3,0.5,0.5,1,Andrew,0.5,1,0,0.9,80,False,6.4,56,,2019-06-25T11:30:07.022396Z,49,0,0,0,15237.jpg,1.0,0,0,Surman,0.0,False,None,a,3,91,0.0,2,472,48,1933,162,0.1,0.4,Surman,0
